Date,Item Name,Quality,Qty,Sell Price,
2013-09-16,Recovered Healing Dome I,936,,499,
2013-09-17,Recovered Teleport Beacon II,86,,99,
2013-09-17,Thermal Cannon II,680,,11980,
2013-09-17,Recovered Teleport Beacon II,770,,189,
2013-09-17,Recovered Assault Plating II,921,,1590,
2013-09-17,Chosen Tremors II,225,,489,
2013-09-17,Recovered Healing Ball II,276,,199,
2013-09-18,Recovered Rally II,763,,439,
2013-09-18,Thermal Cannon II,599,,11980,
2013-09-18,Accord Jumpjets II,653,,9870,
2013-09-18,Chosen Heavy Turret III,825,,2980,
2013-09-18,Surplus Ambush I,930,,179,
2013-09-19,Plasma Cannon II,640,,4589,
2013-09-19,Recovered Healing Ball II,294,,99,
2013-09-19,Accord Elite Assault Rifle III,231,,399,
2013-09-19,Accord Elite Disruption II,111,,129,
2013-09-19,Accord Jumpjets II,557,,8930,
2013-09-19,Accord Elite Crater III,8,,199,
2013-09-19,Accord Jumpjets II,564,,8730,
2013-09-20,Copper,945,500,10980,
2013-09-20,Recovered Teleport Beacon II,812,,299,
2013-09-21,Accord Assault Plating III,735,,15980,
2013-09-21,Accord Jumpjets II,617,,8730,
2013-09-21,Copper,945,500,10980,
2013-09-21,Copper,945,500,10980,
2013-09-21,Copper,945,500,11980,
2013-09-21,Copper,945,500,11980,
2013-09-21,Copper,945,500,11980,
2013-09-21,Copper,945,500,11980,
2013-09-21,Accord Jumpjets II,570,,8830,
2013-09-21,Copper,945,500,11980,
2013-09-21,Accord Jumpjets II,570,,8930,
2013-09-21,Copper,945,996,23180,
2013-09-22,Silicate,999,190,5690,
2013-09-22,Thermal Cannon II,561,,8890,
2013-09-22,Chosen Fusion Cannon III,850,,5890,
2013-09-23,Thermal Cannon III,718,,13280,whoops
2013-09-23,Octine,929,219,3099,
2013-09-23,Burn Jets II,596,,7980,
2013-09-23,Thermal Cannon III,738,,17390,
2013-09-23,Thermal Cannon II,556,,8890,
2013-09-23,Accord Jumpjets II,562,,7980,
2013-09-24,Accord Jumpjets II,570,,8980,
2013-09-24,Accord Elite Servos III,blue,,3980,
2013-09-24,Chosen Electrical Storm III,889,,4890,
2013-09-25,Thermal Cannon III,727,,17210,
2013-09-25,Accord Jumpjets II,564,,8980,
2013-09-25,Assault Plating III,730,,14280,
2013-09-26,Accord Jumpjets II,570,,8990,
2013-09-26,Accord Jumpjets III,739,,18920,
2013-09-26,Accord Elite Healing Wave III,217,,450,
2013-09-26,Nitrine,902,500,9890,
2013-09-27,Chosen Imminent Threat III,16,,998,
2013-09-28,Thermal Cannon II,573,,9870,
2013-09-29,Accord Jumpjets II,570,,9870,
,Recovered Absorbtion Plating III,765,,499,
,Accord Assault Plating III,747,,17980,
,Thermal Cannon III,731,,19870,
,Accord Assault Plating III,589,,12980,
2013-10-01,Thermal Cannon III,731,,19870,
,Accord Jumpjets III,739,,14980,
,Accord Assault Plating III,729,,14280,
